id,label,category,note,highlight,"Lien (Article, Interface)","Impact sur le sujet (sur 10) (Article, Entreprise / Institution, Personne, Service / Fonction, Notion, Nation, Modèle, Interface)",Par (Article),"Date (Article, Service / Fonction, Modèle, Interface)",Siège social / Localisation (Entreprise / Institution),Domaine d'activité (Entreprise / Institution),Nationalité (Personne),Société (Personne),Type de modèle (Modèle)
15,X,Entreprise / Institution,Anciennement Twitter,,,6,,,Etats-Unis,Réseau social,,,
14,Inworld AI,Entreprise / Institution,,pink,,10,,,Etats-Unis,"Jeux vidéos, génération de PNJ",,,
13,Kyutai,Entreprise / Institution,"Laboratoire à but non lucratif.
Annoncé le 17 novembre seulement mais déjà 300 millions d'investissements.",,,6,,,France,Intelligence artificielle,,,
12,Hugging Face,Entreprise / Institution,"Plateforme principale de partage de modèles open source, notamment ceux spécialisés, Hugging Face est un espace de partage spécialisé dans l’intelligence artificielle. Concrètement, les développeurs du monde entier peuvent y déposer leurs modèles de codes, ou des jeux de données qui pourront être réutilisés ou améliorés par d’autres, et ainsi de suite.",,,8,,,Etats-Unis,Intelligence artificielle et développement de logiciels,,,
11,Beijing Academy of Artificial Intelligence,Entreprise / Institution,,,,6,,,Chine,Recherche en intelligence artificielle,,,
10,Stanford University,Entreprise / Institution,,,,7,,,Etats-Unis,Recherche universitaire,,,
9,Slack,Entreprise / Institution,,,,4,,,Etats-Unis,"Collaboration, messagerie d'entreprise, automatisation, intégration, intelligence artificielle, productivité numérique.",,,
8,Sberbank,Entreprise / Institution,,,,6,,,Russie,"Services bancaires, finances, technologies numériques, blockchain, intelligence artificielle, investissements.",,,
7,Quora,Entreprise / Institution,,,,7,,,Etats-Unis,Forum informatique,,,
6,OpenAI,Entreprise / Institution,,,,9,,,Etats-Unis,"Recherche en intelligence artificielle, apprentissage automatique et développements technologiques innovants",,,
5,Microsoft,Entreprise / Institution,,,,7,,,Etats-Unis,"Logiciels, matériel, cloud computing, systèmes d'exploitation, intelligence artificielle, productivité, jeux.",,,
4,Meta,Entreprise / Institution,,,,9,,,Etats-Unis,"Réseaux sociaux, réalité virtuelle, intelligence artificielle, technologie numérique avancée.",,,
3,Google,Entreprise / Institution,,,,7,,,Etats-Unis,"Navigation web, recherche, développement et application de l'IA dans divers domaines comme la vision par ordinateur, le traitement du langage naturel et les systèmes d'apprentissage automatique avancés.",,,
2,Anthropic,Entreprise / Institution,,,,8,,,Etats-Unis,Intelligence artificielle,,,
1,Generative Agents: Interactive Simulacra of Human Behavior,Article,,pink, https://doi.org/10.48550/arXiv.2304.03442,10,Stanford University,06/08/2023,,,,,
